fold,observation,prediction
1.0,0.0220500001062949,0.022983282804489136
3.0,0.0212541668054958,0.01156008243560791
2.0,0.0206666664065172,0.014906756579875946
2.0,0.0199416666291654,0.0152558833360672
4.0,0.0193916667097559,0.007871299982070923
5.0,0.0188333332383384,0.01216837763786316
2.0,0.0174750001169741,0.014761999249458313
2.0,0.0165958333139618,0.015240512788295746
3.0,0.0160874998740231,0.010410010814666748
2.0,0.01548749996194,0.014955580234527588
4.0,0.0152499998221174,0.008852630853652954
5.0,0.0149666666208456,0.00300510972738266
3.0,0.0142374998734643,0.008137956261634827
4.0,0.0139999998888622,0.01095697283744812
1.0,0.0132750000339001,0.004147887229919434
2.0,0.0129874999402091,0.011176258325576782
4.0,0.0127041667001322,0.009753257036209106
3.0,0.0121833334366481,0.010248973965644836
1.0,0.012070833472535,0.002409696578979492
